filename,scenario,axon_fraction,cilia_id,z,y,x,intended_class
A_all_soma_rep1.ims,A_all_soma,0.0,1,8.080132546033298,140.53051271418755,42.68409955879078,soma
A_all_soma_rep1.ims,A_all_soma,0.0,2,8.084800552035885,252.6806596383645,278.4319505170658,soma
A_all_soma_rep1.ims,A_all_soma,0.0,3,7.7179962325940314,288.79301446286667,316.4554733491592,soma
A_all_soma_rep1.ims,A_all_soma,0.0,4,7.666042956833576,293.6269233184627,346.86876936303594,soma
A_all_soma_rep1.ims,A_all_soma,0.0,5,7.4366164416929195,302.39902777274557,68.25933279748237,soma
A_all_soma_rep1.ims,A_all_soma,0.0,6,7.75009138859868,317.6112402345644,321.97457525668534,soma
A_all_soma_rep1.ims,A_all_soma,0.0,7,8.042511553055473,114.86369992519946,44.562537891600755,soma
A_all_soma_rep1.ims,A_all_soma,0.0,8,8.369669679872317,264.61471155644347,333.51881279514913,soma
A_all_soma_rep1.ims,A_all_soma,0.0,9,7.3648488585501495,117.61874817585327,45.86631778929117,soma
A_all_soma_rep1.ims,A_all_soma,0.0,10,7.672386173075808,235.26085980964984,303.4184700135204,soma
A_all_soma_rep1.ims,A_all_soma,0.0,11,8.736139371729355,141.31712038435845,46.03514665397761,soma
A_all_soma_rep1.ims,A_all_soma,0.0,12,7.5083441940169715,147.37018542944196,47.41160266479106,soma
A_all_soma_rep1.ims,A_all_soma,0.0,13,7.508894260620472,235.90372987401582,292.97547648467224,soma
A_all_soma_rep1.ims,A_all_soma,0.0,14,7.705878033914664,279.19355631857195,282.9122501683529,soma
A_all_soma_rep1.ims,A_all_soma,0.0,15,7.8542540536521965,288.2165390177517,347.6242055001775,soma
A_all_soma_rep1.ims,A_all_soma,0.0,16,6.696751068398616,307.8887152870959,119.35244409121172,soma
A_all_soma_rep1.ims,A_all_soma,0.0,17,7.096538682796764,291.5997635590362,73.5387806326637,soma
A_all_soma_rep1.ims,A_all_soma,0.0,18,7.978564153626615,123.77601093719801,40.972541283737485,soma
A_all_soma_rep1.ims,A_all_soma,0.0,19,7.082874677821895,296.6281608629392,67.05983771935765,soma
A_all_soma_rep2.ims,A_all_soma,0.0,1,9.217413919352087,203.47108480001998,246.90218342078117,soma
A_all_soma_rep2.ims,A_all_soma,0.0,2,8.134121098269857,147.8078313343292,259.3467186809511,soma
A_all_soma_rep2.ims,A_all_soma,0.0,3,8.864569406140076,108.12376015863818,303.7037979405587,soma
A_all_soma_rep2.ims,A_all_soma,0.0,4,8.50904733061822,177.98107081784994,111.0483577478634,soma
A_all_soma_rep2.ims,A_all_soma,0.0,5,9.405303879174946,149.30985207884282,116.88929982511186,soma
